Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,after_z1,after_z2
1,1.1866474219088285,0.07745128560740992,-0.8571761059311201,2.373294860686896,0.14307177291726167,4.702651975289831,0.8549483086702958,2.373294860686896,-0.3884498268928168,-0.3884498268928168,128,128,16,16
2,1.0847817366977908,0.07358931398616647,-0.9893712401390076,2.1695635082586757,0.5065590143203735,4.214395721003695,0.8505893248432087,2.1695635082586757,0.05783716244798786,0.05783716244798786,128,128,16,16
3,1.0516898564572603,0.0713272030061146,-0.9948281229666944,2.1033797399053036,0.6059261540759284,4.0732500260730955,0.8346429287262682,2.1033797399053036,0.18568891877273344,0.18568891877273344,128,128,16,16
4,1.0527800985102385,0.0703074185634559,-0.9969269149708297,2.1055602431297302,0.6229787811215194,4.084044829854426,0.8336384785625169,2.1055602431297302,0.21846284717321396,0.21846284717321396,128,128,16,16
5,1.049875462392591,0.07186152097189201,-0.995520959485252,2.0997509585236602,0.6061135356156331,4.069408230061801,0.8361117687990081,2.0997509585236602,0.15779368653190587,0.15779368653190587,128,128,16,16
6,1.0155385721404597,0.07958269470705176,-0.9881829968038595,2.0310771881409413,0.75358246027861,3.8933342762713163,0.8363672461149827,2.0310771881409413,0.23406013361406777,0.23406013361406777,128,128,16,16
7,1.0072914525023047,0.07962084842740365,-0.9909132010531876,2.0145829072538413,0.7843783497810364,3.8639046043719887,0.8351900352621978,2.0145829072538413,0.29229324971729853,0.29229324971729853,128,128,16,16
8,0.9998664760364676,0.07804211791393892,-0.995596024225343,1.9997330195498917,0.8370285374376009,3.8121812793443786,0.8355593130273639,1.9997330195498917,0.3152717132613344,0.3152717132613344,128,128,16,16
9,0.9949269963885253,0.07591239433243589,-0.9959005004954788,1.9898539826555073,0.8273099199780878,3.788712737695226,0.8353586185653255,1.9898539826555073,0.3933028480354345,0.3933028480354345,128,128,16,16
10,0.9939865453063317,0.07688876803753511,-0.9955666245154615,1.9879731041080546,0.8364011937717222,3.79392042924773,0.8315101001622542,1.9879731041080546,0.3485621915392156,0.3485621915392156,128,128,16,16
11,0.9835045168984611,0.07530966260523167,-0.9969198445104203,1.9670090056815237,0.8653543173634218,3.760555518123339,0.8320606941322111,1.9670090056815237,0.4063506222347606,0.4063506222347606,128,128,16,16
12,0.9720846116542816,0.07436329126358032,-0.9971383247735366,1.9441692491747298,0.8503710879188664,3.686133922271009,0.8320414913150499,1.9441692491747298,0.4999692698694625,0.4999692698694625,128,128,16,16
13,0.9779565767297205,0.07306011667791402,-0.9973343689486666,1.9559132051917743,0.9195941754107205,3.7217822862121293,0.8341224800865605,1.9559132051917743,0.3819785266938918,0.3819785266938918,128,128,16,16
14,0.9801771640777588,0.07366187448771495,-0.996467446381191,1.9603543112862785,0.910969264102432,3.727961540222168,0.8352708737805205,1.9603543112862785,0.4043754517926641,0.4043754517926641,128,128,16,16
15,0.9791794571111787,0.07385359353051996,-0.997171181552815,1.9583589299669806,0.9293069963185292,3.7189562433170824,0.8344558123147713,1.9583589299669806,0.4033446767420139,0.4033446767420139,128,128,16,16
16,0.9749210218213639,0.07303976126999226,-0.9958801910562335,1.9498420458919596,0.9351973224360988,3.704285502433777,0.8311173544739777,1.9498420458919596,0.36098205502021985,0.36098205502021985,128,128,16,16
17,0.9805996277422275,0.07362989392483009,-0.9974266785495686,1.9611992993444767,0.8955319394480508,3.7293873541759996,0.8338836409010977,1.9611992993444767,0.47482388635288997,0.47482388635288997,128,128,16,16
18,0.9710078824241206,0.07238654075366147,-0.9965492048353519,1.9420157985867195,0.9502765907431548,3.6897314899372606,0.8321786905234715,1.9420157985867195,0.40131326033821646,0.40131326033821646,128,128,16,16
19,0.9775955952563375,0.07211061960683679,-0.9966637188533567,1.9551912197526895,0.9359843674695717,3.7140977899983243,0.8346522844062662,1.9551912197526895,0.3894303062895559,0.3894303062895559,128,128,16,16
20,0.9712143174882205,0.0720049724826273,-0.9967881879716549,1.942428637225673,0.9552114201041887,3.684190334014173,0.8332305983552393,1.942428637225673,0.46423841197535676,0.46423841197535676,128,128,16,16
21,0.9708385804914078,0.07267177161180748,-0.9961646030533988,1.9416771823505186,0.9459994086679423,3.683003494199717,0.831648661280578,1.9416771823505186,0.4439025942657916,0.4439025942657916,128,128,16,16
22,0.9708654003323249,0.07255040924504118,-0.9968870495850185,1.9417308231569685,0.953206237756981,3.6824342372282497,0.8303809143462271,1.9417308231569685,0.5122732669817951,0.5122732669817951,128,128,16,16
23,0.9679645626050122,0.07205103731380319,-0.9967664277778482,1.9359291611977343,0.9782986219199199,3.6747756206764364,0.8306122900180097,1.9359291611977343,0.5071036001878246,0.5071036001878246,128,128,16,16
24,0.967524675265798,0.07229530010020958,-0.9965805613769675,1.935049350531596,0.9631507469798034,3.6717577239252486,0.8306412589999864,1.935049350531596,0.567829283481499,0.567829283481499,128,128,16,16
25,0.9689894189249795,0.07208577079593011,-0.9961901948137103,1.9379788783361327,0.9462035883147761,3.675500746043223,0.8293253919988308,1.9379788783361327,0.5125631203628936,0.5125631203628936,128,128,16,16
26,0.9646326927643902,0.07277003844391625,-0.9963630988912763,1.929265429388802,0.9815123441084376,3.648293227519629,0.8337800317215469,1.929265429388802,0.47804084349915665,0.47804084349915665,128,128,16,16
27,0.9662639256918205,0.07177755700529746,-0.9956305060746535,1.9325278603805687,0.9817359762371711,3.656621225599973,0.8336187308689333,1.9325278603805687,0.5350249011798779,0.5350249011798779,128,128,16,16
28,0.9533553387758866,0.0718264232547778,-0.9966128828390589,1.9067107259102587,0.9700299805065371,3.592448836227633,0.8303126928941259,1.9067107259102587,0.6100457736624861,0.6100457736624861,128,128,16,16
29,0.9671522317067632,0.07218508380201627,-0.9962497780907829,1.934304470161222,0.980668565574682,3.6607911238130533,0.8341561825770252,1.934304470161222,0.5098671522957958,0.5098671522957958,128,128,16,16
30,0.9589990771041726,0.07103845378700292,-0.9967470011621151,1.9179981553329613,1.0041310551031581,3.6232468654524603,0.8312608166685644,1.9179981553329613,0.5352327573982963,0.5352327573982963,128,128,16,16
