Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,before_z3,before_z4,after_z1,after_z2,after_z3,after_z4
1,0.0206592385701062,0.3026579517238545,-0.29965366788630216,0.041318476485650776,7.036103653774227,0.006880782211840786,0.07575617124379244,0.041318476485650776,18.719640794790017,18.719640794790017,128,128,128,128,16,16,16,16
2,0.005829507353241151,0.309063694668266,-0.29872101714026256,0.011659014623014713,10.85027996998913,0.0011113036615018434,0.022206725526319922,0.011659014623014713,22.53448489926896,22.53448489926896,128,128,128,128,16,16,16,16
3,0.005539534953950008,0.3120275763970501,-0.2982502053931074,0.01107906988593486,11.118809457095164,0.0007991668606783211,0.021358973030352366,0.01107906988593486,22.80357175503137,22.80357175503137,128,128,128,128,16,16,16,16
4,0.005441320638330477,0.3123635950515855,-0.29892157299338645,0.010882641232730646,11.186061139376658,0.0005548660613745802,0.021210416619894357,0.010882641232730646,22.870662581245853,22.870662581245853,128,128,128,128,16,16,16,16
5,0.005400484511277305,0.31275644842183814,-0.29906647722676116,0.010800968932497473,11.250736236572266,0.000374854774596521,0.02122708315135173,0.010800968932497473,22.93438567755357,22.93438567755357,128,128,128,128,16,16,16,16
6,0.005358830344740231,0.3109563870250054,-0.2983266222027113,0.010717660649943183,11.231049510667908,0.00026038715441245586,0.021174934200661362,0.010717660649943183,22.91468847022866,22.91468847022866,128,128,128,128,16,16,16,16
7,0.0053382757677749365,0.31026360758070676,-0.2988723229687169,0.010676551489423047,11.262459341085181,0.0001989307056646794,0.021154172116679686,0.010676551489423047,22.946301316315274,22.946301316315274,128,128,128,128,16,16,16,16
8,0.0053328715554737255,0.30920557874553606,-0.2994012602095334,0.010665743084589266,11.228984391914224,0.00016985993256039023,0.021161626180950202,0.010665743084589266,22.912399759832418,22.912399759832418,128,128,128,128,16,16,16,16
9,0.00532829099695005,0.30713653592568524,-0.29933690574933897,0.010656581971934944,11.278749312994615,0.00015700079955353912,0.021156163253592996,0.010656581971934944,22.962429676415784,22.962429676415784,128,128,128,128,16,16,16,16
10,0.005303162569619434,0.3054386205830664,-0.29974913568991535,0.010606324998661876,11.295050288146397,0.000151363264314637,0.021061286549874634,0.010606324998661876,22.980208450893187,22.980208450893187,128,128,128,128,16,16,16,16
11,0.00530589983868852,0.30336131492875656,-0.30011515206885786,0.010611799580730358,11.314605919819957,0.00014901397662470117,0.021074585194857616,0.010611799580730358,22.99966400074509,22.99966400074509,128,128,128,128,16,16,16,16
12,0.0053048120231701515,0.30291236459084275,-0.3001332904370326,0.010609623962872714,11.344404121614852,0.00014766621502788457,0.02107158174984298,0.010609623962872714,23.02965198372895,23.02965198372895,128,128,128,128,16,16,16,16
13,0.005319229970721282,0.2999450498313274,-0.3005162190716222,0.010638459915084377,11.298166140070501,0.0001475303545034104,0.02112938959221795,0.010638459915084377,22.982204149354178,22.982204149354178,128,128,128,128,16,16,16,16
14,0.005325964844196965,0.29923694004427714,-0.30061195312805894,0.010651929635677557,11.321229187947399,0.00014708680416488106,0.021156772395666195,0.010651929635677557,23.004989821955842,23.004989821955842,128,128,128,128,16,16,16,16
15,0.005323923054537823,0.2968913620372988,-0.3009272858781635,0.010647845977284718,11.259360781255758,0.0001466576171844521,0.021149034348298918,0.010647845977284718,22.942819541355348,22.942819541355348,128,128,128,128,16,16,16,16
