Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,after_z1,after_z2,after_z3,after_z4,before_z1,before_z2,before_z3,before_z4
36,0.9324293456695698,0.09037901626692878,-1.9729897004586678,1.8648587476324152,1.1343011867116999,2.8875263686533326,0.8421911359937103,1.8648587476324152,0.5507041791246997,0.5507041791246997,3,3,3,3,16,16,16,16
37,0.9389391640822092,0.08978842226443468,-1.974494907591078,1.877878365693269,1.1515093213982053,2.926672088879126,0.8290846386441478,1.877878365693269,0.6659326987789461,0.6659326987789461,3,3,3,3,16,16,16,16
38,0.9265132783739655,0.089238157150922,-1.9749523732397292,1.8530266108336273,1.1147458724401615,2.8665356040000916,0.8395176386391675,1.8530266108336273,0.691750623829042,0.691750623829042,3,3,3,3,16,16,16,16
39,0.9333643604207922,0.0888950900623092,-1.9750536856827912,1.8667287075961079,1.1081254581610362,2.9038221571180554,0.829635293395431,1.8667287075961079,0.8065474525921874,0.8065474525921874,3,3,3,3,16,16,16,16
40,0.9136440980213659,0.09051947819965857,-1.9755799174308777,1.8272882534397974,1.1508714777451974,2.8174908878626646,0.8370855825918692,1.8272882534397974,0.7404355597682297,0.7404355597682297,3,3,3,3,16,16,16,16
41,0.9153936637772454,0.0904010048619023,-1.9703697473914534,1.830787326450701,1.148541635937161,2.828237004854061,0.8333376899913505,1.830787326450701,0.7207630507096097,0.7207630507096097,3,3,3,3,16,16,16,16
42,1.0040433473057218,0.09023398588652964,-1.9734740875385426,2.0080866890924947,1.1754722396532695,3.167912706180855,0.8482606808344523,2.0080866890924947,0.5635040424488209,0.5635040424488209,3,3,3,3,16,16,16,16
43,1.0066782329921369,0.0938691645860672,-1.9655536788481254,2.0133564792297505,1.1008100620022527,3.1858819789356656,0.8408309960806811,2.0133564792297505,0.6093981206520565,0.6093981206520565,3,2,3,2,16,16,16,16
44,0.9444023144465906,0.09469855990674761,-1.9651323402369465,1.8888046465538166,1.0707136182873338,2.9493964667673462,0.8282128638691373,1.8888046465538166,0.5739208286007246,0.5739208286007246,3,3,3,3,16,16,16,16
45,0.9197499564400425,0.0933739247697371,-1.9686804899462946,1.8394999150876645,1.1319815549585555,2.854533463716507,0.8244663714258759,1.8394999150876645,0.7693498195321472,0.7693498195321472,3,3,3,3,16,16,16,16
