Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,after_z1
1,1.3858239459541608,0.06797925031410074,0.0,2.7716479144006407,0.16080239235054491,4.68405076467766,0.8592450652482375,2.7716479144006407,24.17594920464282,24.17594920464282,128,64
2,1.261898880859591,0.06753422910312437,0.0,2.5237977707161092,0.5399100372813782,4.1930394757468745,0.8545560392568696,2.5237977707161092,24.514206364469707,24.514206364469707,128,64
3,1.2222965736434144,0.06718634504754588,0.0,2.4445931888976187,0.6363653928603766,4.053730944417557,0.835455373773035,2.4445931888976187,24.747718451158057,24.747718451158057,128,64
4,1.2262835980586286,0.06658573715754275,0.0,2.452567219734192,0.6486956797680765,4.071002202213935,0.8341322265705973,2.452567219734192,24.813724085969746,24.813724085969746,128,64
5,1.2268950849209193,0.06711694302986253,0.0,2.453790214826476,0.6138308734264014,4.071103721294763,0.8364766375073847,2.453790214826476,24.710451414000314,24.710451414000314,128,64
6,1.2095203478381318,0.06678480753358805,0.0,2.4190406990501114,0.6817980102210675,4.003052266138904,0.8350290993474564,2.4190406990501114,24.74321268189628,24.74321268189628,128,64
7,1.2095017629974294,0.06659526701243419,0.0,2.4190035439887136,0.6988137769249251,4.003652017071562,0.8343550714681733,2.4190035439887136,24.83859573220307,24.83859573220307,128,64
8,1.1974998431385688,0.07471312076415655,0.0,2.394999639043268,0.7497533488104928,3.954500618970619,0.835498776075975,2.394999639043268,24.822552267110574,24.822552267110574,128,64
9,1.1685346252513382,0.08000609264621195,0.0,2.337069231384205,0.8262722381162193,3.8383735890658395,0.8357648810125747,2.337069231384205,25.045766002727003,25.045766002727003,128,64
10,1.1581834048595068,0.0799441026910296,0.0,2.316366822089789,0.8623653622168415,3.8012626890866263,0.8314709370990969,2.316366822089789,24.85399044684644,24.85399044684644,128,64
11,1.150951253355674,0.07990052916531293,0.0,2.301902510085196,0.8783602084753648,3.7716649781982854,0.8321400762728925,2.301902510085196,24.9665444931894,24.9665444931894,128,64
12,1.12698196015268,0.0806715986076391,0.0,2.25396396191615,0.8986977265690858,3.6760915157929905,0.8318364541485624,2.25396396191615,25.06057404572109,25.06057404572109,128,64
13,1.1331968571779862,0.07736416709310603,0.0,2.2663937503436826,0.9776442860657314,3.698869727692514,0.8339177864902424,2.2663937503436826,25.144297509823204,25.144297509823204,128,64
14,1.137441172914685,0.07856015144091733,0.0,2.274882361573993,0.9518810105773637,3.7147408566384947,0.835023895749506,2.274882361573993,24.96776717563845,24.96776717563845,128,64
15,1.133654776609169,0.07693175282680763,0.0,2.2673095419721783,0.9806367991105566,3.700079746966092,0.8345393870236739,2.2673095419721783,25.043768324941958,25.043768324941958,128,64
16,1.12732107234451,0.07678618268021997,0.0,2.254642164932107,0.9944600732821338,3.6780121843769864,0.8312721319918362,2.254642164932107,25.016215918199073,25.016215918199073,128,64
17,1.131256677069754,0.07697625191144224,0.0,2.262513391251834,0.9635971773345515,3.6909160197905773,0.8341107801446375,2.262513391251834,25.120992516571622,25.120992516571622,128,64
18,1.1241885817275856,0.0759265292084442,0.0,2.248377223059816,1.0093982714527059,3.6641457823087586,0.8326086559385624,2.248377223059816,25.014217484672116,25.014217484672116,128,64
19,1.12907704261114,0.07583713390917149,0.0,2.258154183063867,0.9933314458379205,3.6814687476967864,0.8348395307109041,2.258154183063867,25.03409115773327,25.03409115773327,128,64
20,1.120710722118054,0.07527110880275942,0.0,2.241421443111492,1.015858068781079,3.649372064842368,0.8334708714260245,2.241421443111492,25.10116328833238,25.10116328833238,128,64
21,1.121705894200307,0.07584151653748639,0.0,2.243411841257563,1.0037619392826873,3.6548907059543536,0.8319329771230806,2.243411841257563,25.023392839251823,25.023392839251823,128,64
22,1.117996463235819,0.07663881286697567,0.0,2.2359929399670295,1.0250497134226673,3.6413140476874584,0.830671842368144,2.2359929399670295,25.104729058607568,25.104729058607568,128,64
23,1.1163913303951047,0.0756833498489182,0.0,2.2327827361394776,1.0490351814144063,3.6345249346967012,0.831040510029163,2.2327827361394776,25.14592922858472,25.14592922858472,128,64
24,1.1159244415894993,0.07487526690622545,0.0,2.231848919166709,1.0222033835806936,3.632665406982854,0.8310324723990459,2.231848919166709,25.13199050471468,25.13199050471468,128,64
25,1.1190995759559128,0.0754302571404655,0.0,2.238199184525688,1.0054655912912116,3.646665487649306,0.8297328909613052,2.238199184525688,25.114055849471182,25.114055849471182,128,64
26,1.1175498293255859,0.07644057850230415,0.0,2.235099689015802,1.0249558979610227,3.635980142737335,0.8342192426042737,2.235099689015802,24.99059900247826,24.99059900247826,128,64
27,1.1130399113556124,0.07493357880497878,0.0,2.2260798114650653,1.0542007780299996,3.618206264837733,0.833953359217014,2.2260798114650653,25.16000693699099,25.16000693699099,128,64
28,1.096729818942412,0.0747301993223856,0.0,2.1934596626263745,1.0364024909037464,3.5562247049133733,0.83069464957939,2.1934596626263745,25.188460116116506,25.188460116116506,128,64
29,1.1176224609590926,0.07623090496603048,0.0,2.235244968027439,1.038530411585322,3.636278882341565,0.8342110469656171,2.235244968027439,25.244706639703715,25.244706639703715,128,64
30,1.1065462321605322,0.07512829452753067,0.0,2.2130925025580064,1.0660799730498836,3.594576304813601,0.8316086862447127,2.2130925025580064,25.077604941602022,25.077604941602022,128,64
