Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,before_z3,before_z4,after_z1,after_z2,after_z3,after_z4
1,0.022295594676661323,0.2649685824817082,-0.30308561533127193,0.04459118881737286,6.603470718488097,0.008374771477768795,0.08080760675992044,0.04459118881737286,18.287007727712954,18.287007727712954,128,128,128,128,2,2,2,2
2,0.0060202429457655495,0.26871730035768365,-0.30071555387299015,0.012040485838814726,10.700459066426978,0.0010957143742828367,0.022985257138058823,0.012040485838814726,22.384663977712954,22.384663977712954,128,128,128,128,2,2,2,2
3,0.005570173893949755,0.2762671775131855,-0.2997055320807223,0.011140347814257696,11.09162957713289,0.0008029164559699877,0.02147777896497469,0.011140347814257696,22.776391875069095,22.776391875069095,128,128,128,128,2,2,2,2
4,0.005455142185794857,0.2821404734310114,-0.2994807595914265,0.010910284371589715,11.173723175840557,0.0005841994172682599,0.02123636936874322,0.010910284371589715,22.85832448275584,22.85832448275584,128,128,128,128,2,2,2,2
5,0.0054158553303184235,0.2815487691253986,-0.29955502669766265,0.010831710700174127,11.236653678822067,0.0004279811505254639,0.02123544022511199,0.010831710700174127,22.92030302083717,22.92030302083717,128,128,128,128,2,2,2,2
6,0.005375940361464361,0.28230063111152287,-0.2989430520332085,0.010751880797610249,11.215707113158029,0.00032260277987246946,0.02118115864237243,0.010751880797610249,22.899346171684986,22.899346171684986,128,128,128,128,2,2,2,2
7,0.005353341933410123,0.2815744069949636,-0.29860992476625264,0.010706683792138719,11.248815419538966,0.0002542656902904745,0.021159102081514475,0.010706683792138719,22.932657133858157,22.932657133858157,128,128,128,128,2,2,2,2
8,0.0053442143879057664,0.27915837854709263,-0.29860205554737235,0.01068842872309516,11.218923163863847,0.0002112830945132476,0.02116557441757254,0.01068842872309516,22.902338603757464,22.902338603757464,128,128,128,128,2,2,2,2
9,0.005336245583405472,0.27713013637178346,-0.2985105053433832,0.01067249114923882,11.271531959749618,0.00018485788231768275,0.02116012444965682,0.01067249114923882,22.95521248511548,22.95521248511548,128,128,128,128,2,2,2,2
10,0.0053083212422382715,0.2747410569550856,-0.2984400622124942,0.010616642528406854,11.290393208557704,0.00016859942630651617,0.02106468556975981,0.010616642528406854,22.975551227353655,22.975551227353655,128,128,128,128,2,2,2,2
11,0.005309064358578257,0.27486768997502775,-0.29875013850769905,0.010618128664440141,11.311756026070073,0.00015888011447079303,0.021077377045140514,0.010618128664440141,22.996814205961407,22.996814205961407,128,128,128,128,2,2,2,2
