Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,before_z3,before_z4,after_z1,after_z2,after_z3,after_z4
12,0.005306707126229018,0.27113612867751213,-0.2984302578107366,0.010613414261244097,11.342660912927592,0.00015279339194816167,0.021074034994081507,0.010613414261244097,23.027908505133862,23.027908505133862,128,128,128,128,2,2,2,2
13,0.0053202935037607296,0.2668262908481202,-0.29828925683813273,0.01064058706023783,11.29723285279184,0.000149709518017568,0.021131464728277247,0.01064058706023783,22.981271060007924,22.981271060007924,128,128,128,128,2,2,2,2
14,0.00532660278368671,0.2664674919731212,-0.29807412793051524,0.010653205385062633,11.32068472088508,0.00014790667622912465,0.021158504273461283,0.010653205385062633,23.004445381884306,23.004445381884306,128,128,128,128,2,2,2,2
15,0.005324376437303452,0.2637391538833672,-0.2980225637273968,0.010648752786746284,11.258988749306157,0.00014684349442623502,0.021150662036577485,0.010648752786746284,22.942447734328937,22.942447734328937,128,128,128,128,2,2,2,2
16,0.005303842498797853,0.2609901691101632,-0.2982360835907594,0.010607684997595707,11.269620553502497,0.00014590308774989713,0.021069466628415405,0.010607684997595707,22.954366701953816,22.954366701953816,128,128,128,128,2,2,2,2
17,0.005321460662910469,0.26208668356796483,-0.29831492619694405,0.010642921240156833,11.34015898434621,0.00014563648025768826,0.021140205941848317,0.010642921240156833,23.02423804661013,23.02423804661013,128,128,128,128,2,2,2,2
18,0.005311150167506399,0.2601572055861635,-0.2986927889990357,0.010622300317440674,11.28611457572793,0.0001451866399224426,0.021099414131691994,0.010622300317440674,22.97045801270683,22.97045801270683,128,128,128,128,2,2,2,2
19,0.0053272537375308295,0.2576519030163873,-0.2986026738049849,0.010654507356449822,11.265698064048335,0.00014538909515908498,0.021163625541617565,0.010654507356449822,22.948938891572773,22.948938891572773,128,128,128,128,2,2,2,2
20,0.005319134938477908,0.25531656168541816,-0.2983396165775803,0.010638269780309132,11.261058771385336,0.00014518257561370397,0.021131356932082266,0.010638269780309132,22.944822563315338,22.944822563315338,128,128,128,128,2,2,2,2
21,0.005309222905264008,0.2542568566101902,-0.2981161447066181,0.010618445766597704,11.288027322517252,0.00014513186136543978,0.02109175967931185,0.010618445766597704,22.972516653672706,22.972516653672706,128,128,128,128,2,2,2,2
22,0.005301949340753468,0.2544322188170451,-0.2982834630979682,0.010603898624397532,11.3240929189718,0.0001451577280125282,0.021062639642963715,0.010603898624397532,23.009139510820496,23.009139510820496,128,128,128,128,2,2,2,2
23,0.0053041326562997025,0.25263605646367343,-0.29838391154442195,0.01060826529502728,11.294114688657364,0.00014507676774574407,0.02107145387749627,0.01060826529502728,22.97892941169019,22.97892941169019,128,128,128,128,2,2,2,2
24,0.005304731758100525,0.2517460325978837,-0.29881280604398475,0.010609463344872842,11.394264949942535,0.0001448509025273247,0.021074075809732643,0.010609463344872842,23.079456905149065,23.079456905149065,128,128,128,128,2,2,2,2
25,0.005296905610692811,0.24873152389278952,-0.29854324769298984,0.01059381117745531,11.328190965472528,0.00014480709824227851,0.021042815014227945,0.01059381117745531,23.013660376926637,23.013660376926637,128,128,128,128,2,2,2,2
26,0.005324919679518437,0.24516423496435275,-0.29867599285998436,0.010649839119616686,11.293235580876189,0.00014503347538609304,0.02115464488589117,0.010649839119616686,22.976672478441923,22.976672478441923,128,128,128,128,2,2,2,2
27,0.0053243373085762255,0.24588310535786287,-0.2984733483139074,0.010648674582008202,11.312236237076094,0.0001450466929181514,0.02115230246464599,0.010648674582008202,22.99596838681203,22.99596838681203,128,128,128,128,2,2,2,2
