Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,after_z1,after_z2,before_z1,before_z2
1,1.369703037871255,0.07730097503021911,-0.8910323182741801,2.7394060371098696,0.12995455540388962,4.6271825874293295,0.8516296545664469,2.7394060371098696,3,3,16,16
2,1.2661883091485058,0.07255642861127853,-0.9883408182197146,2.5323766182970116,0.4815136681276339,4.198186905295761,0.8665663191565761,2.5323766182970116,3,3,16,16
3,1.243996367962272,0.07190042513388174,-0.9941180613305833,2.4879927315093853,0.6283699252677185,4.131709544746964,0.844275881294851,2.4879927315093853,3,3,16,16
4,1.2146947549449072,0.07178096638785468,-0.9953918147970129,2.429389543003506,0.6283027548860345,4.019647688777359,0.8391313801209132,2.429389543003506,3,3,16,16
5,1.210186410833288,0.07166517029205959,-0.9969028212406017,2.420372821666576,0.5997416614382355,4.01396303706699,0.8267826426912237,2.420372821666576,3,3,16,16
6,1.2280177595438782,0.07191977401574452,-0.9971884334528888,2.45603550253091,0.6887556416568933,4.081496848000421,0.8305741338818161,2.45603550253091,3,3,16,16
7,1.2076446855509724,0.07673327652392564,-0.9905307723416222,2.415289352337519,0.7342926276226839,3.9991104547624237,0.8314682802668324,2.415289352337519,3,3,16,16
8,1.1654457869353119,0.08033327675527996,-0.9867773100181862,2.330891582700941,0.8154072067959027,3.832273878433086,0.8295093002142729,2.330891582700941,3,3,16,16
9,1.1786733407665182,0.07912208540020166,-0.9854276191305231,2.357346699193672,0.8388976834507452,3.885196990436978,0.8294963902897305,2.357346699193672,3,3,16,16
10,1.169105428788397,0.08207479146895585,-0.9853387629544293,2.3382108454351074,0.850932330445007,3.831524091738242,0.8448975720891246,2.3382108454351074,3,3,16,16
11,1.1809671289390988,0.07930236723687914,-0.9822498063246409,2.36193420820766,0.880705468080662,3.882364010369336,0.8415044888302132,2.36193420820766,3,3,16,16
12,1.257111942326581,0.08069040157176831,-0.9793703721629249,2.514223873615265,0.8822137266397476,4.186752138314424,0.8416956580347486,2.514223873615265,3,3,16,16
13,1.1469736838782276,0.07954897993692646,-0.9839754932456546,2.2939474052853055,0.9606457065652918,3.7563589767173484,0.8315358625517951,2.2939474052853055,3,3,16,16
14,1.1484710226456325,0.07874899647302097,-0.9835217263963487,2.2969420629519,0.9680694573455386,3.767393340667089,0.8264908023454525,2.2969420629519,3,3,16,16
15,1.1310481666414827,0.07857558558936473,-0.9826010311091388,2.262096286923797,0.964605430761973,3.6968897272039345,0.8273029101115686,2.262096286923797,3,3,16,16
16,1.1294740703370836,0.07825686506651065,-0.9820220492504261,2.2589481671651206,0.9831810389403943,3.677296068933275,0.8406003360395078,2.2589481671651206,3,3,16,16
17,1.121909737586975,0.07809517863723967,-0.9849857014638407,2.2438195281558566,0.9567652134983627,3.6590673746886075,0.8285716943166874,2.2438195281558566,3,3,16,16
18,1.1271379148518597,0.07669968530535698,-0.9850008995444687,2.2542758793742568,1.0166345437367756,3.6733828562277333,0.8351689179738363,2.2542758793742568,3,3,16,16
19,1.1089422465474517,0.0769393441301805,-0.9835260091004548,2.217884528968069,0.9924174580309126,3.611471966460899,0.824297105272611,2.217884528968069,3,3,16,16
20,1.117087269546809,0.07602410832488979,-0.9856914359110373,2.2341745208810875,1.0091528594493866,3.6387272317100456,0.8296218933882537,2.2341745208810875,3,3,16,16
21,1.117371274917214,0.0765248577075976,-0.9834471179379357,2.2347425630799047,1.0060770522665095,3.6333506758566254,0.8361344801055061,2.2347425630799047,3,3,16,16
22,1.1137012204638235,0.07761759172987055,-0.9831067621707916,2.2274024343049086,1.0018847948975034,3.6138057620437056,0.8409991352646439,2.2274024343049086,3,3,16,16
23,1.1079377874180123,0.07695354521274567,-0.985531332316222,2.215875585873922,1.0367042576825176,3.5926189797895924,0.8391322178973092,2.215875585873922,3,3,16,16
24,1.1095654274578448,0.07683584645942405,-0.9841528093373334,2.219130900171068,1.0139314234256744,3.5998592089723656,0.838402548873866,2.219130900171068,3,3,16,16
