Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,before_z3,before_z4,after_z1,after_z2,after_z3,after_z4
1,1.05630197460359,0.1827531004289411,-0.2809325151567189,2.1126039601721853,0.2470454974846809,3.3752264948386066,0.8499814527777007,2.1126039601721853,24.888069242801308,26.128099891374696,128,128,128,128,32,32,32,32
2,0.9699328423671003,0.21750810700205137,-0.2617009387544866,1.9398657049772874,0.5694690118543804,3.0430165574235737,0.8367148044536699,1.9398657049772874,25.163526625003456,26.547399880751122,128,128,128,128,32,32,32,32
3,0.9442692695642417,0.23879238752261647,-0.2763417956401717,1.8885385970462043,0.6334002981630137,2.9430920970889756,0.8339850759168841,1.8885385970462043,25.36609960951895,26.647445984606474,128,128,128,128,32,32,32,32
4,0.9329788301069781,0.2507036284736867,-0.2579518406177467,1.8659576762397334,0.704468096272563,2.897141120906146,0.8347741938986868,1.8659576762397334,25.344534100226635,26.693981764451514,128,128,128,128,32,32,32,32
5,0.9158190013665073,0.25517253647997695,-0.25760973399540166,1.8316380435003425,0.7905614741568295,2.8264131281735763,0.8368629593894167,1.8316380435003425,25.55109155402993,26.795282057996065,128,128,128,128,32,32,32,32
6,0.8989885455032565,0.2616166091471348,-0.2787602444021207,1.797977126431915,0.8779548767883822,2.7609288529405056,0.8350254179171797,1.797977126431915,25.551165094915426,26.811601422867685,128,128,128,128,32,32,32,32
7,0.8916960119638803,0.2627405053320921,-0.27337412184701776,1.7833920658197042,0.8892630416337611,2.7320134009955064,0.8347706870650345,1.7833920658197042,25.548734952818673,26.812054975977485,128,128,128,128,32,32,32,32
8,0.8846822482235027,0.26452538834990197,-0.2720626818965066,1.7693645054439329,0.9470546790662239,2.703385846794776,0.8353431671857834,1.7693645054439329,25.687365369976693,26.810446163393415,128,128,128,128,32,32,32,32
9,0.8683617137513071,0.2676045623309207,-0.2745019160913971,1.7367234379053116,0.9956532466524052,2.6382992093293174,0.8351476619828422,1.7367234379053116,25.822289448864055,26.969691186581016,128,128,128,128,32,32,32,32
10,0.8554868252491051,0.26899574907883156,-0.2751135878124327,1.7109736698978353,1.080938162668696,2.5903388081856495,0.8316085085553943,1.7109736698978353,25.738894138696057,26.973742700972647,128,128,128,128,32,32,32,32
11,0.8484966906736482,0.27091255685630833,-0.2756209148902376,1.6969934004657674,1.0737720565554105,2.5616262221954904,0.8323605918097046,1.6969934004657674,25.85762903825292,27.07333285853548,128,128,128,128,32,32,32,32
12,0.8340853106863094,0.27069525336319544,-0.26568550152598686,1.6681706506126333,1.1012553381470014,2.504497914381747,0.8318433860000575,1.6681706506126333,25.80241645956939,27.122344970703125,128,128,128,128,32,32,32,32
13,0.8364516572569901,0.27233973075196427,-0.26422560601583067,1.6729033389743768,1.129483588461606,2.510893446938047,0.8349132023330005,1.6729033389743768,25.800206328338046,27.0269408495921,128,128,128,128,32,32,32,32
14,0.835797157279163,0.27342695742845535,-0.2518953955117262,1.6715943482968043,1.1504040585373931,2.5078606230189218,0.8353280321044741,1.6715943482968043,25.713724946076017,27.102658595678943,128,128,128,128,32,32,32,32
15,0.8294184775847309,0.2718516929813151,-0.2490552244883663,1.6588369467348423,1.194975901324794,2.4829226997944542,0.8347511831319557,1.6588369467348423,25.802865766129404,27.021537762767863,128,128,128,128,32,32,32,32
16,0.819552314871887,0.272911990588566,-0.255354087729499,1.6391046362103157,1.2310236613705474,2.4466980718216806,0.8315111528027732,1.6391046362103157,25.862622764875304,27.25556425778371,128,128,128,128,32,32,32,32
