Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,after_z1,after_z2
1,2.8868298845471076,0.07619046574493624,0.0,2.886829873300948,0.1360265256239558,4.706602881539543,0.8615466069500402,2.7840747315928622,49.345244065770565,48.9841598654693,128,128,16,16
2,2.6582761530606254,0.0751951979297512,0.0,2.6582761643067845,0.4664974631565922,4.238213203987986,0.8703550134065017,2.554284111508783,49.52678874753556,49.16835691344063,128,128,16,16
3,2.521661920367547,0.09440606452946393,0.0,2.5216619608537205,0.6672104457920452,4.025386902521241,0.8407165981688589,2.4330517570927457,49.95897760931051,49.617657715419554,128,128,16,16
4,2.454781283747475,0.10084999451097452,0.0,2.4547813321059606,0.7974733831185215,3.9242272084614016,0.836928332751652,2.3805777947857694,50.14756256679319,49.84326344616008,128,128,16,16
5,2.4241087481660664,0.1041177086672693,0.0,2.424108730172211,0.8051251038065497,3.8735221376958884,0.8381757545021346,2.3558489106736094,50.043331578092754,49.71586752837559,128,128,16,16
6,2.3734336068045416,0.10656250268220901,0.0,2.3734336484153316,0.9137222499779936,3.7739071756039024,0.8362430165398795,2.305075084263424,50.16700118442751,49.85884000670235,128,128,16,16
7,2.3492747320319123,0.11239961998642616,0.0,2.349274757898079,0.9596542240876071,3.7359388740557544,0.8353730591962922,2.285655969718717,50.30252579023253,49.95605598305756,128,128,16,16
