Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,after_z1,after_z2
1,2.885445713996887,0.07185246978165968,0.0,2.885445731990742,0.13687630221774838,4.67515533150367,0.8664991613828911,2.7708272169221124,49.36244914216815,48.96865448861752,128,128,4,4
2,2.6572813762808747,0.0704415129884234,0.0,2.657281403271657,0.46853714647158134,4.243677901771833,0.873628851377739,2.5586534108755723,49.51891053397701,49.18031339825324,128,128,4,4
3,2.5205093003668875,0.08347741753425238,0.0,2.520509317236127,0.668735496559233,4.0405922520835444,0.8415893856084572,2.4410908222198486,49.94308773976452,49.63659732746628,128,128,4,4
4,2.452473800137358,0.09034328429766421,0.0,2.452473811383517,0.8009279505261835,3.935410443341957,0.8373102742546009,2.3863603888817555,50.13784998767781,49.859884442023514,128,128,4,4
5,2.42601112824566,0.09324430772718394,0.0,2.4260111080025726,0.8051837975124143,3.879084551109458,0.8384688839597522,2.358776702071136,50.04474668682746,49.71456973957566,128,128,4,4
6,2.3751816164772466,0.0953711913722866,0.0,2.375181641218797,0.9082510232363107,3.7751491857024857,0.8363471166142877,2.305748168027626,50.162550656300674,49.85234746393168,128,128,4,4
7,2.3549279683041124,0.0997708037776767,0.0,2.3549279638056486,0.9490996354593421,3.7385939550849625,0.8356796778597921,2.2871368088812196,50.2965249115566,49.94094834237728,128,128,4,4
8,2.339271941274967,0.10303370668640677,0.0,2.339271954770358,0.9989644848513153,3.6993740482150383,0.8360819940297108,2.2677280003169797,50.326359658871056,50.083227337531326,128,128,4,4
