Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,after_z1,after_z2,before_z1,before_z2
1,1.4249483258635909,0.07134710473042948,0.0,2.7299620895474046,0.14613820239147,4.605955212204544,0.8539689166678323,2.7299620895474046,8,8,16,16
2,1.3183971742788951,0.07066424301377049,0.0,2.5099880496660867,0.519499498522944,4.161577562491099,0.8583984474341074,2.5099880496660867,8,8,16,16
3,1.294406192170249,0.07063067870007621,0.0,2.483986563152737,0.632609399518481,4.124534428119659,0.8434386363735905,2.483986563152737,8,8,16,16
4,1.2585221998117588,0.07028574275749701,0.0,2.4295769852620586,0.6266651127349447,4.0200492960435374,0.8391045823141381,2.4295769852620586,8,8,16,16
5,1.2493438941461068,0.07040555692381328,0.0,2.4197791009037584,0.5988766451676687,4.01277607900125,0.8267821156316333,2.4197791009037584,8,8,16,16
6,1.2657473219765558,0.07040496129128668,0.0,2.4586131661026567,0.6838382092063073,4.086592042887652,0.830634347818516,2.4586131661026567,8,8,16,16
7,1.2532801837832839,0.07061053840098558,0.0,2.4343384945834123,0.6990222617707871,4.0373493079785945,0.8313276486264335,2.4343384945834123,8,8,16,16
8,1.2294427708343223,0.07513599622028845,0.0,2.3717942282005593,0.7392176510421214,3.914203749762641,0.8293847623798583,2.3717942282005593,8,8,16,16
9,1.2359116204358913,0.07849734787035871,0.0,2.3652614001874572,0.8282104210445175,3.900617610525202,0.8299051892978174,2.3652614001874572,8,8,16,16
10,1.2210818893379636,0.07913627240944791,0.0,2.3326136513992592,0.8557478686173757,3.8204143113560147,0.8448129412200716,2.3326136513992592,8,8,16,16
11,1.242759871813986,0.07854411171542273,0.0,2.353164143032498,0.8969462332143275,3.8645736083940223,0.8417546887088705,2.353164143032498,8,8,16,16
12,1.3133865186461695,0.08011644485372084,0.0,2.5060046745671167,0.9025805073755758,4.169885017253734,0.8421244052825151,2.5060046745671167,8,8,16,16
13,1.2157063175130773,0.07924625484479798,0.0,2.290903828762196,0.966867051742695,3.7500796207675227,0.8317281051918313,2.290903828762196,8,8,16,16
14,1.2150461982797693,0.07933492779179856,0.0,2.3019029012432806,0.9602892564402686,3.7772526696876243,0.8265530787132405,2.3019029012432806,8,8,16,16
15,1.191815663267065,0.07849332621252095,0.0,2.2550811624085463,0.9767702514374698,3.6829518477121987,0.8272105858281806,2.2550811624085463,8,8,16,16
16,1.1942137832994815,0.07880957369451169,0.0,2.249085307121277,1.0017710664757975,3.657547363528499,0.8406232650633212,2.249085307121277,8,8,16,16
17,1.188065391447809,0.07930939203059231,0.0,2.2330953898253263,0.9762429992357889,3.6376329395506115,0.8285578268545645,2.2330953898253263,8,8,16,16
18,1.1987407075034247,0.07839832096188157,0.0,2.2461641232172647,1.0333256324132283,3.657205786969927,0.8351224429077573,2.2461641232172647,8,8,16,16
19,1.175112954720303,0.0787162008108916,0.0,2.211570418543286,1.0002780763639345,3.5990051638197014,0.8241356694036059,2.211570418543286,8,8,16,16
20,1.179839735781705,0.07814180781995808,0.0,2.2258075735083334,1.0237336373991437,3.622172489762306,0.8294426329709865,2.2258075735083334,8,8,16,16
21,1.1841348122667383,0.07822917926090735,0.0,2.2333954075972238,1.0099137745521687,3.6308373466685966,0.8359534668701666,2.2333954075972238,8,8,16,16
22,1.1812888654293838,0.0791439320202227,0.0,2.209143641922209,1.0360868275165558,3.577509688006507,0.8407776289516025,2.209143641922209,8,8,16,16
