Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,after_z1,after_z2,before_z1,before_z2
1,2.3423212667306266,0.07726577503813638,0.0,2.3423212899102106,0.1215269601110507,4.628248278741483,0.8528543037396891,2.7405513403592288,8,8,16,16
2,2.17904735494543,0.07250004206542615,0.0,2.179047339492374,0.4253317890343843,4.223254038227929,0.8763129556620562,2.549783496944993,8,8,16,16
3,2.1344112985663943,0.07288988472686873,0.0,2.13441131512324,0.5954399296530971,4.148808836936951,0.8485446649569052,2.498676779093566,8,8,16,16
4,2.0811451739735074,0.0722395529349645,0.0,2.08114516293561,0.6067812319982935,4.02149161806813,0.8399078713523017,2.4306997292571597,8,8,16,16
5,2.0687040521038904,0.07206665241607914,0.0,2.068704048792521,0.5929528510680905,4.013102900098871,0.8270935261691058,2.4200982252756753,8,8,16,16
6,2.104860810218034,0.0714524814652072,0.0,2.1048608223597207,0.6681952138465864,4.0837239512690795,0.8308308047276957,2.4572774127677635,8,8,16,16
7,2.0843833486239114,0.0714291448670405,0.0,2.0843833795300237,0.6869481975143706,4.0363184721381575,0.8315378510289722,2.433928190558045,8,8,16,16
8,2.038357381467466,0.07503355611805562,0.0,2.0383574024394706,0.6836235745361557,3.9251717373176858,0.8291494051615397,2.3771605800699303,8,8,16,16
9,2.0366524402742034,0.08218069305574452,0.0,2.0366524623499975,0.7625495562398875,3.9200148207169994,0.8305733347380603,2.375294072760476,8,8,16,16
10,2.011941442886988,0.08389108255505562,0.0,2.0119414539248854,0.8026813787442667,3.8437947277669555,0.8448974550874145,2.3443460519667023,8,8,16,16
11,2.049609746094103,0.08146752403290183,0.0,2.049609763754739,0.8407432991597388,3.892848433167846,0.8421526926535147,2.3675005667739444,8,8,16,16
12,2.1469120813740625,0.08317733045529437,0.0,2.1469121045536466,0.8511582966204043,4.195023176846681,0.8422906680239571,2.5186569116733692,8,8,16,16
13,1.9869314343840987,0.08029415072114379,0.0,1.986931453148524,0.9154126942157745,3.75984298520618,0.8318017621835073,2.2958223267837807,8,8,16,16
14,1.9793609480063121,0.08035630608598392,0.0,1.9793609480063121,0.9141901146482538,3.792328425027706,0.8268578361581873,2.3095931421827385,8,8,16,16
15,1.9442232527114727,0.08082652823240669,0.0,1.9442232670607391,0.9182941659733102,3.7118750391183077,0.827828002748666,2.269851510171537,8,8,16,16
16,1.9419010513358645,0.07999084544954477,0.0,1.9419010745154486,0.9510779077256167,3.6786795810416892,0.8411385196226614,2.2599090426056474,8,8,16,16
17,1.9288599535270974,0.07995901243002326,0.0,1.928859974499102,0.9145573338976613,3.6627347988111003,0.8291410759643272,2.245937952288875,8,8,16,16
18,1.9539703009305176,0.07820909925633007,0.0,1.9539703174873635,0.9649677983036747,3.688484803394035,0.8357443279690213,2.262114568992897,8,8,16,16
19,1.9149614837434557,0.07881265685514167,0.0,1.9149614986446168,0.9379703264545511,3.6354369118257805,0.8245931869303739,2.2300150377882852,8,8,16,16
20,1.9239835661870461,0.07745678019192484,0.0,1.9239835855033662,0.9621164655243909,3.649856948190265,0.8297625046085428,2.2398097349537744,8,8,16,16
21,1.92485644419988,0.07883696092499627,0.0,1.9248564530301977,0.9614290054197665,3.647285912875776,0.8363797151380115,2.2418328335991613,8,8,16,16
22,1.9142535163296595,0.0786409230419883,0.0,1.9142535207448181,0.9671404256864831,3.612205152158384,0.8410101543973993,2.2266076472070484,8,8,16,16
23,1.9162030440789681,0.0777458311231048,0.0,1.9162030705699213,0.9842552586838051,3.603674255035542,0.8392576387634983,2.2214658988846674,8,8,16,16
24,1.9170765700163666,0.07721116559373008,0.0,1.9170766042338476,0.9680174407031801,3.6135956380102368,0.838657827840911,2.226126730442047,8,8,16,16
25,1.9206878002043124,0.07775913372083947,0.0,1.9206878035156816,0.9516681785936709,3.6304161923903004,0.8439292455161059,2.2371727018444627,8,8,16,16
26,1.9154557309768818,0.07774744458772519,0.0,1.9154557784398396,0.993594409139068,3.6423557798067727,0.8248115010835506,2.2335836478957423,8,8,16,16
27,1.8959504630830553,0.07703477847907278,0.0,1.8959504851588496,0.9854415042532815,3.5795510085644544,0.8250646696046546,2.20230779990002,8,8,16,16
28,1.9881018113206934,0.07707234996336478,0.0,1.988101855472282,0.9876663221253289,3.8122917424749443,0.8389079013356456,2.3255998580544084,8,8,16,16
29,1.8941195872094896,0.07833772152662277,0.0,1.894119624186445,0.9862920567393303,3.584694821525503,0.8237999360318538,2.2042473687065973,8,8,16,16
