Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,before_z3,before_z4,after_z1,after_z2,after_z3,after_z4
1,1.0344633444932834,0.3428294243958761,-0.21254795684285885,2.0689267013573422,0.2721795782313423,3.2958034069611215,0.8420499710823005,2.0689267013573422,24.51365277452289,25.653057962093712,128,128,128,128,64,64,64,64
2,0.9706424384044027,0.37686443975511585,-0.20431466309248275,1.9412848939591985,0.4880778538370681,3.047219285565727,0.835350541222208,1.9412848939591985,24.582794306413184,25.90986667489106,128,128,128,128,64,64,64,64
3,0.9406022581992284,0.38051206702893636,-0.17647026832443927,1.881204548731165,0.590797866114749,2.929076395647706,0.8333327043450104,1.881204548731165,24.837998939010333,26.142317331062173,128,128,128,128,64,64,64,64
4,0.9256343017771559,0.3799810656961405,-0.1878271763792859,1.8512686249923032,0.7007067163698902,2.8691026787010006,0.8334346092393938,1.8512686249923032,24.861160404277296,26.170909818613303,128,128,128,128,64,64,64,64
5,0.9080458089076685,0.3824848975494223,-0.17607212982158055,1.8160916165501442,0.7850411154666392,2.796238724845198,0.8359445649076183,1.8160916165501442,24.983942238789684,26.292440063548536,128,128,128,128,64,64,64,64
6,0.8954780877761122,0.3841356134639596,-0.1822810522368494,1.7909562059871431,0.8258406712480311,2.747199941602237,0.8347124597936306,1.7909562059871431,25.050586340562354,26.314063477066327,128,128,128,128,64,64,64,64
7,0.8828832744357159,0.3846251109860978,-0.16943541519291136,1.76576658914674,0.8737533155758426,2.697630848173263,0.8339023192957887,1.76576658914674,25.13718757089579,26.384020877334308,128,128,128,128,64,64,64,64
8,0.8738027248742446,0.38510620678370855,-0.16903131019394352,1.7476054743494627,0.9291305938243585,2.6608958034161128,0.8343151367779048,1.7476054743494627,25.07283823445158,26.29899937251829,128,128,128,128,64,64,64,64
9,0.869175481873582,0.38636078938560664,-0.16000363897567368,1.7383509713383216,0.9329947786370538,2.6425750240824133,0.83412693447943,1.7383509713383216,25.336973892067963,26.45710571756903,128,128,128,128,64,64,64,64
10,0.8583612105686147,0.3862461357746484,-0.14787813520305,1.7167224510801289,0.9843335597301429,2.6030140144504466,0.8304309233460786,1.7167224510801289,25.178169376445265,26.457041335555743,128,128,128,128,64,64,64,64
11,0.8499396698865688,0.3898330751173901,-0.14350725438024076,1.6998793451150633,0.9959669857514355,2.5685523382194764,0.8312063718320064,1.6998793451150633,25.295364883710754,26.613560064783638,128,128,128,128,64,64,64,64
12,0.8404656230770754,0.38911440701417205,-0.15522485754874377,1.6809312622502166,0.9961707689711508,2.5309472153631023,0.8309153063960795,1.6809312622502166,25.164230913486122,26.488513676625377,128,128,128,128,64,64,64,64
