Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,after_z1,before_z1
1,1.3624965051809947,0.07116747633726508,0.0,2.7249930092581995,0.14978329219027525,4.593547927008735,0.8564380479079706,2.7249930092581995,8,16
2,1.2628957209763703,0.07097838184347859,0.0,2.5257914463678994,0.4909093376525022,4.1865218701186,0.865060955286026,2.5257914463678994,8,16
3,1.2434140427245035,0.07118784194743191,0.0,2.4868280755148993,0.6289182757889783,4.128775570127699,0.8448805660009384,2.4868280755148993,8,16
4,1.2144783525555223,0.07070182663974939,0.0,2.42895676140432,0.6275531861379191,4.018199854426914,0.8397135944278152,2.42895676140432,8,16
5,1.209992527961731,0.07099171051824535,0.0,2.419985051508303,0.6004947846134504,4.013083286859371,0.8268868150534453,2.419985051508303,8,16
6,1.2301797905453928,0.07013225072511921,0.0,2.460359555703622,0.6814601059865069,4.090297921940133,0.8304212854968177,2.460359555703622,8,16
7,1.2179113135293678,0.06977834207592187,0.0,2.4358226093981,0.6976868538530888,4.040503866142696,0.8311414277112043,2.4358226093981,8,16
8,1.199520065828606,0.06953883971329089,0.0,2.3990401051662587,0.6879812226527267,3.969763214941378,0.8283170097404056,2.3990401051662587,8,16
