Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,after_z1,before_z1
1,1.3620333130712863,0.07140996928016345,0.0,2.724066654841105,0.15143717941396903,4.591159985021308,0.8569732308387756,2.724066654841105,-0.8893420666421729,-0.8893420666421729,8,16
2,1.260518397446032,0.07157380327030465,0.0,2.5210367993072227,0.4990641288804235,4.178328375021617,0.8637452263523031,2.5210367993072227,-0.5494063725626027,-0.5494063725626027,8,16
3,1.242579675383038,0.07191014648587615,0.0,2.4851593253789126,0.6319021579843981,4.125771067760609,0.8445475460202606,2.4851593253789126,-0.49846786943574745,-0.49846786943574745,8,16
4,1.2144102730132915,0.0712519612301279,0.0,2.4288205482341625,0.6280145189828343,4.01810281806522,0.8395382325958323,2.4288205482341625,-0.34238205160255786,-0.34238205160255786,8,16
5,1.2099915130270853,0.0715672771135966,0.0,2.419983082347446,0.5992684618190482,4.013112210565144,0.8268538652746765,2.419983082347446,-0.3586865227531504,-0.3586865227531504,8,16
6,1.2295210620871297,0.07057354005950468,0.0,2.4590421131363622,0.6830913154063402,4.087705084571132,0.8303792002024474,2.4590421131363622,-0.537936419972943,-0.537936419972943,8,16
7,1.218034185745098,0.07021607086062431,0.0,2.436068360452299,0.6967170717953531,4.041032541681219,0.831104275253084,2.436068360452299,-0.44354429958319225,-0.44354429958319225,8,16
8,1.1993653730109886,0.07000154380997022,0.0,2.3987307393992388,0.6878177246716978,3.969181290379277,0.8282802237404717,2.3987307393992388,-0.45766944576192786,-0.45766944576192786,8,16
9,1.2198878703293976,0.06981403049495485,0.0,2.4397757384512158,0.6984748064919755,4.051284650961558,0.8282668275965585,2.4397757384512158,-0.47237621606500063,-0.47237621606500063,8,16
10,1.2125876115428076,0.07060522420538796,0.0,2.42517520432119,0.6991647079035088,4.006708553543797,0.8436419566472372,2.42517520432119,-0.48606835316038793,-0.48606835316038793,8,16
11,1.229156377138915,0.07111521617129997,0.0,2.458312760900568,0.6971569304113034,4.075858611751486,0.8407669851073513,2.458312760900568,-0.47905323102518366,-0.47905323102518366,8,16
12,1.3182299236456554,0.07038687707649337,0.0,2.636459920141432,0.6933691592680084,4.432096549758205,0.8408233573039373,2.636459920141432,-0.45211807003727666,-0.45211807003727666,8,16
13,1.2108432562262923,0.06970296013686392,0.0,2.421686546670066,0.72930140848513,4.0126296767482055,0.8307434784041511,2.421686546670066,-0.5048008560789404,-0.5048008560789404,8,16
14,1.2129288227469832,0.06956172748296349,0.0,2.4258576543242842,0.7237350905521048,4.0259593371991755,0.8257560752056263,2.4258576543242842,-0.48964780586323253,-0.48964780586323253,8,16
15,1.18888533005008,0.06953392012251748,0.0,2.377770666722898,0.7507652397508975,3.9287447642396995,0.8267966001122086,2.377770666722898,-0.42198690505594844,-0.42198690505594844,8,16
16,1.1929980019728343,0.06973414178247805,0.0,2.3859959973229303,0.7529076456471726,3.9319057530826993,0.8400862967526471,2.3859959973229303,-0.48227866400999053,-0.48227866400999053,8,16
17,1.1848975867033005,0.0698621922896968,0.0,2.369795252879461,0.7245925604193298,3.9114917582935758,0.828098675719014,2.369795252879461,-0.33279867677225006,-0.33279867677225006,8,16
18,1.1915855909939166,0.07008215729837064,0.0,2.3831712283470012,0.770703234606319,3.9318101273642645,0.834532427015128,2.3831712283470012,-0.47428952204063535,-0.47428952204063535,8,16
19,1.1798562661365226,0.06957326222349096,0.0,2.359712564834842,0.7087607932863412,3.8957212931580014,0.823703850309054,2.359712564834842,-0.3080168399545882,-0.3080168399545882,8,16
20,1.1843114578061633,0.0693862705870911,0.0,2.368622977424551,0.7563487404474506,3.908239492663631,0.8290064936434781,2.368622977424551,-0.35754008439403995,-0.35754008439403995,8,16
21,1.187089799730866,0.06943500262719614,0.0,2.374179650236059,0.7536425435984576,3.9128277875758983,0.8355314748154746,2.374179650236059,-0.39168243220558874,-0.39168243220558874,8,16
