Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,after_z1
1,1.3948058418507845,0.06693383826399749,0.0,2.789611726436975,0.12940097518071955,4.712461685234645,0.8667616529284783,2.789611726436975,24.144548020272886,24.144548020272886,256,32
2,1.2976657680745394,0.06902349051439537,0.0,2.5953315383983107,0.4128072360214197,4.305924309874481,0.8847387455544382,2.5953315383983107,24.38710389047299,24.38710389047299,256,32
3,1.2510233026630473,0.0729486808743117,0.0,2.502046574961464,0.5340165183440132,4.155269789245893,0.8488233061331623,2.502046574961464,24.645369655681105,24.645369655681105,256,32
4,1.238242603135559,0.07511224921019573,0.0,2.476485216392661,0.6047690710369146,4.1133984552239475,0.839571975874451,2.476485216392661,24.769797738992942,24.769797738992942,256,32
5,1.232691226702816,0.07642676118972166,0.0,2.4653824624025598,0.5958871748649849,4.092301280993335,0.838463731531827,2.4653824624025598,24.692507905780143,24.692507905780143,256,32
6,1.2047873994089522,0.08673346112921552,0.0,2.409574803316368,0.7009083313762017,3.980484850001785,0.8386648072386688,2.409574803316368,24.762323019639503,24.762323019639503,256,32
7,1.1999633239125305,0.09645861935503078,0.0,2.3999266410773656,0.7184177561188644,3.9609711620042907,0.8388821623235378,2.3999266410773656,24.858199641389668,24.858199641389668,256,32
8,1.182102419295401,0.09370753337752144,0.0,2.364204870080048,0.8052609810289347,3.886780705092088,0.8416289878341386,2.364204870080048,24.878060106961232,24.878060106961232,256,32
9,1.1669911202394738,0.0919535387799425,0.0,2.333982250600491,0.8155471712069692,3.830562456598822,0.8374020192983016,2.333982250600491,25.0350406214876,25.0350406214876,256,32
10,1.1610575397059602,0.09196806460056665,0.0,2.3221151356427177,0.842532936694487,3.8107953161563515,0.8334349275759931,2.3221151356427177,24.834158303602685,24.834158303602685,256,32
11,1.1525111918179494,0.09113583081173447,0.0,2.305022363392812,0.8645750475379655,3.7766334931805448,0.8334112167358398,2.305022363392812,24.95275911295189,24.95275911295189,256,32
12,1.1393495213310674,0.09202264994382858,0.0,2.278699080899077,0.8463340346824448,3.724775768675894,0.8326223520737774,2.278699080899077,25.00821073999945,25.00821073999945,256,32
13,1.1450123370818373,0.08986908380153044,0.0,2.2900247348929352,0.9250671891671307,3.7453163254935786,0.8347331465415235,2.2900247348929352,25.09172043710385,25.09172043710385,256,32
14,1.143478604982484,0.08970574134925627,0.0,2.2869572549496056,0.9232959387437353,3.7382985657116152,0.8356159160721977,2.2869572549496056,24.93918202958017,24.93918202958017,256,32
15,1.1423029028019815,0.09034471241932995,0.0,2.2846057977316514,0.945638324292201,3.7338397435422213,0.8353718676657047,2.2846057977316514,25.00876991703825,25.00876991703825,256,32
16,1.1387734784270234,0.08976559847031,0.0,2.2775469950909883,0.9476488277597247,3.723020321917984,0.8320736570178338,2.2775469950909883,24.969404652433575,24.969404652433575,256,32
