Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,before_z1,before_z2,after_z1,after_z2
1,2.7151610249631544,0.5000000574308283,0.0,2.7151610641970354,0.15412862390170204,4.407989273158943,0.8407649270927204,2.6243770813240723,1.1993221897894846,0.9379538776878925,128,128,64,64
2,2.5360310729636866,0.5000000473331002,0.0,2.5360310724903554,0.4757429755566751,4.094310457723982,0.8342075770567445,2.464258995652199,1.4888199749326005,1.2174240861241432,128,128,64,64
3,2.447827159324113,0.5000000447385451,0.0,2.447827175820575,0.61348425774342,3.9407966797229124,0.8347900581359863,2.3877933369489277,1.5899660182568958,1.4180908611372989,128,128,64,64
